payloadsize	encrypt	decrypt
4770	0.0007696400	0.0006517720
4780	0.0007701660	0.0006518310
4790	0.0007702870	0.0006525670
4800	0.0007695800	0.0006524050
4810	0.0007702880	0.0006524280
4820	0.0007703540	0.0006528530
4830	0.0007698180	0.0006524480
4840	0.0007738320	0.0006533810
4850	0.0007708930	0.0006532650
4860	0.0007704270	0.0006529930
4870	0.0007704000	0.0006533500
4880	0.0007705230	0.0006533740
4890	0.0007698740	0.0006530330
4900	0.0007703950	0.0006533020
4910	0.0007701030	0.0006533290
4920	0.0007702720	0.0006533790
4930	0.0007709880	0.0006541570
4940	0.0007714560	0.0006536590
4950	0.0007711030	0.0006542120
4960	0.0007715150	0.0006541940
4970	0.0007709570	0.0006542860
4980	0.0007712860	0.0006585260
4990	0.0007714230	0.0006541010
5000	0.0007708810	0.0006542820
5010	0.0007724700	0.0006558310
5020	0.0007723120	0.0006560160
5030	0.0007719150	0.0006557060
5040	0.0007727660	0.0006561310
5050	0.0007727600	0.0006561970
5060	0.0007731760	0.0006562850
5070	0.0007730460	0.0006562200
5080	0.0007720710	0.0006556200
5090	0.0007722480	0.0006557350
5100	0.0007712890	0.0006553390
5110	0.0007724180	0.0006559870
5120	0.0007757760	0.0006562680
5130	0.0008202600	0.0006565860
5140	0.0007796540	0.0006563660
5150	0.0007731480	0.0006567780
5160	0.0007738490	0.0006574530
5170	0.0007732370	0.0006575880
5180	0.0007738840	0.0006575260
5190	0.0007734010	0.0006571550
5200	0.0007738300	0.0006578490
5210	0.0007739130	0.0006578320
5220	0.0007744460	0.0006582470
5230	0.0007742580	0.0006583870
5240	0.0007737940	0.0006582130
5250	0.0007751170	0.0006593850
5260	0.0007791490	0.0006587480
5270	0.0007734980	0.0006578270
5280	0.0007735270	0.0006581850
5290	0.0007735840	0.0006576740
5300	0.0007738920	0.0006582590
5310	0.0007740020	0.0006581770
5320	0.0007738550	0.0006585890
5330	0.0007748290	0.0006591290
5340	0.0007745710	0.0006590860
5350	0.0007748960	0.0006592860
5360	0.0007752190	0.0006599470
5370	0.0007745440	0.0006592330
5380	0.0007753610	0.0006598310
5390	0.0007754780	0.0006599470
5400	0.0007792390	0.0006604680
5410	0.0007762300	0.0006608150
5420	0.0007756930	0.0006604560
5430	0.0007742340	0.0006595430
5440	0.0007751520	0.0006601750
5450	0.0007750260	0.0006599260
5460	0.0007752940	0.0006605390
5470	0.0007754680	0.0006602060
5480	0.0007758670	0.0006607880
5490	0.0007759720	0.0006608120
5500	0.0007756560	0.0006605460
5510	0.0007762360	0.0006609810
5520	0.0007760040	0.0006610910
5530	0.0007756530	0.0006611760
5540	0.0007803650	0.0006617530
5550	0.0007759850	0.0006608210
5560	0.0007759520	0.0006613400
5570	0.0007759590	0.0006608790
5580	0.0007755880	0.0006613780
5590	0.0007761890	0.0006614840
5600	0.0007765190	0.0006617490
5610	0.0007765710	0.0006618150
5620	0.0007765500	0.0006621050
5630	0.0007774750	0.0006625050
5640	0.0007773000	0.0006629250
5650	0.0007776890	0.0006630440
5660	0.0007776020	0.0006631010
5670	0.0007780940	0.0006632080
5680	0.0007815120	0.0006630180
5690	0.0007780530	0.0006632480
5700	0.0007779590	0.0006634030
5710	0.0007772340	0.0006630230
5720	0.0007774870	0.0006634250
5730	0.0007773050	0.0006633100
5740	0.0007770890	0.0006633150
5750	0.0007783280	0.0006636930
5760	0.0007784240	0.0006643160
5770	0.0007788620	0.0006646150
5780	0.0007786210	0.0006645720
5790	0.0007783300	0.0006647500
5800	0.0007785840	0.0006643380
5810	0.0007789720	0.0006647300
5820	0.0007790110	0.0006680930
5830	0.0007787030	0.0006645770
5840	0.0007795770	0.0006656140
5850	0.0007789100	0.0006650990
5860	0.0007780790	0.0006642570
5870	0.0007774840	0.0006641610
5880	0.0007779910	0.0006644870
5890	0.0007777630	0.0006645760
5900	0.0007789560	0.0006653030
5910	0.0007783100	0.0006650680
5920	0.0007786100	0.0006652180
5930	0.0007787770	0.0006653530
5940	0.0007793110	0.0006657070
5950	0.0007793640	0.0006656360
5960	0.0007785810	0.0006688760
5970	0.0007786970	0.0006656800
5980	0.0007794800	0.0006666910
5990	0.0007790780	0.0006661870
6000	0.0007793120	0.0006861330
6010	0.0007806120	0.0006671950
6020	0.0007800200	0.0006676600
6030	0.0007804500	0.0006673470
6040	0.0007795790	0.0006667820
6050	0.0007793080	0.0006666040
6060	0.0007794690	0.0006668720
6070	0.0007796180	0.0006668730
6080	0.0007796970	0.0006673810
6090	0.0007797990	0.0006713280
6100	0.0007809430	0.0006678530
6110	0.0007793050	0.0006673150
6120	0.0007804530	0.0006676330
6130	0.0007802520	0.0006677180
6140	0.0007810030	0.0006680040
6150	0.0007804490	0.0006678560
6160	0.0007800890	0.0006682530
6170	0.0007805540	0.0006682100
6180	0.0007821060	0.0006689310
6190	0.0007816410	0.0006690970
6200	0.0007815450	0.0006694270
6210	0.0007822010	0.0006700410
6220	0.0007821010	0.0006705400
6230	0.0007865370	0.0006702240
6240	0.0007826540	0.0006706190
6250	0.0007824760	0.0006697440
6260	0.0007824170	0.0006700660
6270	0.0007829150	0.0006700160
6280	0.0007828870	0.0006707910
6290	0.0007841200	0.0006711650
6300	0.0007833570	0.0006711950
6310	0.0007838840	0.0006712430
6320	0.0007817500	0.0006699090
6330	0.0007811230	0.0006700720
6340	0.0007817750	0.0006698680
6350	0.0007823480	0.0006706210
6360	0.0007819680	0.0006701440
6370	0.0007863230	0.0006705030
6380	0.0007831500	0.0006712980
6390	0.0007829920	0.0006713470
6400	0.0007829090	0.0006712370
6410	0.0007826290	0.0006712340
6420	0.0007828940	0.0006714400
6430	0.0007824420	0.0006714110
6440	0.0007833290	0.0006717830
6450	0.0007833110	0.0006723950
6460	0.0007830630	0.0006719790
6470	0.0007834430	0.0006717720
6480	0.0007833530	0.0006721200
6490	0.0007828470	0.0006716370
6500	0.0007832810	0.0006725020
6510	0.0007892230	0.0006736200
6520	0.0007853100	0.0006744590
