payloadsize	encrypt	decrypt
2810	0.0060893100	0.0044307400
2820	0.0061033700	0.0044326200
2830	0.0060935500	0.0044303700
2840	0.0061018500	0.0044309500
2850	0.0061205100	0.0044567100
2860	0.0060930500	0.0044319200
2870	0.0060997400	0.0044370100
2880	0.0061119800	0.0044416400
2890	0.0060908200	0.0044307000
2900	0.0060946900	0.0044415400
2910	0.0061012800	0.0044473500
2920	0.0061033800	0.0044351300
2930	0.0060994300	0.0044383600
2940	0.0061125800	0.0044382800
2950	0.0061035800	0.0044459100
2960	0.0061001900	0.0044372600
2970	0.0061250800	0.0044485100
2980	0.0061135400	0.0044480900
2990	0.0061042600	0.0044352300
3000	0.0061156900	0.0044476200
3010	0.0060945500	0.0044241200
3020	0.0060877600	0.0044238600
3030	0.0060947300	0.0044313400
3040	0.0061049900	0.0044754800
3050	0.0061000600	0.0044413000
3060	0.0061070100	0.0044439800
3070	0.0061126300	0.0044492800
3080	0.0061005500	0.0044407000
3090	0.0061031000	0.0044386700
3100	0.0061067800	0.0044396100
3110	0.0060948300	0.0044340700
3120	0.0061073800	0.0044359100
3130	0.0060993600	0.0044524700
3140	0.0061170000	0.0044426100
3150	0.0060952100	0.0044392000
3160	0.0061144600	0.0044498800
3170	0.0061101600	0.0044380900
3180	0.0061044000	0.0044424700
3190	0.0061018300	0.0044471200
3200	0.0061075400	0.0044399500
3210	0.0060993200	0.0044398600
3220	0.0060965600	0.0044414000
3230	0.0061148300	0.0044534100
3240	0.0061215300	0.0044500600
3250	0.0061151000	0.0044658400
3260	0.0061205900	0.0044559700
3270	0.0061114700	0.0044427300
3280	0.0061137400	0.0044490200
3290	0.0061220200	0.0044559800
3300	0.0061109200	0.0044493000
3310	0.0061129500	0.0044451900
3320	0.0061176400	0.0044534400
3330	0.0061033000	0.0044432500
3340	0.0061215300	0.0044624000
3350	0.0061248100	0.0044545200
3360	0.0061250200	0.0044520000
3370	0.0061194800	0.0044532800
3380	0.0061147200	0.0044573900
3390	0.0061337000	0.0044545600
3400	0.0061078700	0.0044560400
3410	0.0061084600	0.0044521100
3420	0.0061090800	0.0044458000
3430	0.0061304200	0.0044549600
3440	0.0061295100	0.0044659200
3450	0.0061496000	0.0044694400
3460	0.0061113800	0.0044465100
3470	0.0061268100	0.0044557000
3480	0.0061238600	0.0044589300
3490	0.0061230200	0.0044543500
3500	0.0061182400	0.0044549200
3510	0.0061211000	0.0044535300
3520	0.0061318800	0.0044556800
3530	0.0061206300	0.0044559600
3540	0.0061275300	0.0044661700
3550	0.0061243900	0.0044573600
3560	0.0061164200	0.0044556300
3570	0.0061172200	0.0044567400
3580	0.0061151300	0.0044569300
3590	0.0061339700	0.0044700500
3600	0.0061216100	0.0044572600
3610	0.0061126800	0.0044524800
3620	0.0061252500	0.0044599700
3630	0.0061296300	0.0044592300
3640	0.0061434500	0.0044980500
3650	0.0061243100	0.0044610600
3660	0.0061215700	0.0044541800
3670	0.0062323100	0.0045036000
3680	0.0061099800	0.0044441400
3690	0.0061306500	0.0044588300
3700	0.0061305900	0.0044552700
3710	0.0061332400	0.0044601100
3720	0.0061293100	0.0044556600
3730	0.0061302900	0.0044600700
3740	0.0061177400	0.0044432000
3750	0.0061107400	0.0044424100
3760	0.0061174500	0.0044571200
3770	0.0061313800	0.0044680900
3780	0.0061125600	0.0044557500
3790	0.0061165800	0.0044640600
3800	0.0061212300	0.0044590400
3810	0.0061292000	0.0044694800
3820	0.0061364900	0.0044679600
3830	0.0061312400	0.0044617700
3840	0.0061270000	0.0044631700
3850	0.0061352400	0.0044739700
3860	0.0061267700	0.0044702100
3870	0.0061234500	0.0044723000
3880	0.0061236400	0.0044595900
3890	0.0061220900	0.0044667100
3900	0.0061263200	0.0044629300
3910	0.0061337700	0.0044669900
3920	0.0061657800	0.0044924200
3930	0.0061370300	0.0044653500
3940	0.0061364600	0.0044627000
3950	0.0061303000	0.0044693200
3960	0.0061327700	0.0044696500
3970	0.0061329400	0.0044666700
3980	0.0061230900	0.0044658800
3990	0.0061346200	0.0044711900
4000	0.0061329100	0.0044717200
4010	0.0061386400	0.0044767000
4020	0.0061389100	0.0044752200
4030	0.0061327000	0.0044611800
4040	0.0061328700	0.0044664400
4050	0.0061354300	0.0044720900
4060	0.0061350600	0.0044708200
4070	0.0061423800	0.0044738700
4080	0.0061291400	0.0044689700
4090	0.0061436300	0.0044758900
4100	0.0061525100	0.0044754100
4110	0.0061464100	0.0044716700
4120	0.0061313200	0.0044732100
4130	0.0061367500	0.0044686400
4140	0.0061346000	0.0044796500
4150	0.0061284500	0.0044690300
4160	0.0061300000	0.0044729100
4170	0.0061329500	0.0044754700
4180	0.0061388800	0.0044818100
4190	0.0061511600	0.0044832300
4200	0.0061432000	0.0044854300
4210	0.0061370800	0.0044735800
4220	0.0061313600	0.0044718800
4230	0.0061405100	0.0044770400
4240	0.0061335700	0.0044817000
4250	0.0061336100	0.0044711100
4260	0.0061326400	0.0044725000
4270	0.0061461000	0.0044769600
4280	0.0061307200	0.0044851600
4290	0.0061473400	0.0044836700
4300	0.0061464800	0.0044732000
4310	0.0061369900	0.0044749500
4320	0.0061395300	0.0044776800
4330	0.0061409500	0.0044816000
4340	0.0062030900	0.0044763300
4350	0.0061423500	0.0044794200
4360	0.0061429900	0.0044754400
